Carat(Weight),Cut(Quality),Color,Clarity,Depth,Table,X(length),Y(width),Z(Depth),Price $
0.75,Ideal,F,SI1,60.8,57,5.87,5.9,3.58,3610
0.28,Very Good,G,VVS2,62.5,53,4.18,4.21,2.62,522
0.77,Good,D,SI2,63.8,58,5.81,5.78,3.7,2665
0.43,Ideal,I,,62.1,57,4.83,4.86,3.01,780
0.34,Very Good,G,VVS1,60.9,57,4.53,4.56,2.76,819
0.95,Very Good,J,VS2,63.5,56,6.24,6.27,3.97,3314
0.55,Very Good,D,SI1,61.2,58,5.24,5.29,3.22,1692
0.75,Very Good,F,VS1,62.3,57,5.83,5.88,3.65,3270
0.36,Ideal,H,IF,62.2,54.1,4.57,4.6,2.86,877
1.39,Ideal,H,VVS2,61.2,54,7.23,7.25,4.43,9298
0.3,Good,D,SI1,63.2,56,4.24,4.27,2.69,552
1.51,Premium,H,SI2,60.4,59,7.3,7.27,,7864
0.3,,G,VS1,62.1,60,4.24,4.3,2.65,605
0.76,Ideal,F,VS2,,55,5.88,5.9,3.63,2725
0.51,Good,D,SI2,63.9,55,5.04,5.1,3.24,1180
0.57,Ideal,G,VS2,61.8,56,5.35,5.3,3.29,1728
1.07,Ideal,G,VVS2,62.4,55.6,6.48,6.55,4.07,8235
1.21,Premium,F,SI2,61.5,57,6.93,,4.25,4740
0.54,Ideal,F,,61.3,57,5.29,,3.23,2333
0.5,Very Good,D,VS2,63.4,57,5.09,5.04,3.21,1758
2.03,,D,SI2,63.1,59,8.12,7.99,5.08,12765
0.3,Good,G,SI1,63.2,55,4.26,4.29,,417
1.55,Premium,I,SI2,58.5,60,7.64,7.58,4.45,7972
2,Very Good,H,SI2,62.6,56,7.98,8.09,5.03,15446
0.3,Premium,D,SI1,62.3,58,4.32,4.28,2.68,709
1.59,Premium,E,VS2,62.3,59,7.43,7.38,4.61,15249
0.51,Ideal,E,VS2,62.4,57,5.13,5.1,3.19,1781
1.55,Ideal,F,SI1,61.9,55,7.47,7.42,4.61,14220
1,Very Good,E,SI1,59.2,59,6.49,6.55,3.86,5718
2.42,Premium,J,SI2,58.5,59,8.85,8.82,5.17,16198
1.32,Ideal,G,VS1,,56,7.05,7,4.4,9979
0.42,Ideal,D,SI1,62.3,57,4.8,4.77,2.98,1040
0.32,Ideal,G,,62.1,53,4.41,4.44,2.75,918
0.7,Very Good,E,VVS2,61.5,58,5.67,5.71,3.5,3429
1.01,Very Good,F,VS2,63.1,56,6.41,6.37,4.03,6267
0.37,Ideal,E,VVS2,62.2,56,4.63,4.6,2.87,1082
1.55,Very Good,G,SI1,59.8,59,7.45,7.47,4.46,9428
1.03,Ideal,H,I1,61.5,57,6.52,6.48,4,3230
1.5,Ideal,F,VS2,60.4,57,7.41,7.43,4.48,14071
0.53,Very Good,D,SI1,63.4,58,5.15,5.11,3.25,1636
0.26,Very Good,D,VS1,63.3,57,4.03,4.06,2.56,420
1,,F,SI2,56.7,60,6.62,,3.74,3858
0.32,Ideal,G,VS1,61.6,55,4.43,,2.74,665
1.04,Ideal,D,SI1,61.9,57,6.51,6.54,4.04,6112
0.3,Premium,D,SI1,62.1,58,4.28,4.25,2.65,709
1.7,Premium,F,SI2,,60,7.64,7.56,4.7,10377
0.93,Premium,G,SI2,60.8,59,6.35,6.28,3.84,3594
2,Premium,I,VS2,62.5,57,8.01,7.92,4.98,17574
0.4,Premium,H,VS1,62.4,60,4.69,4.74,2.94,807
1,Premium,G,VS1,61.9,60,6.39,6.31,3.93,5242
1.25,Premium,I,SI2,60.5,58,7,6.96,4.22,5166
1.53,Fair,I,VS2,57.7,69,7.6,7.51,4.36,8996
0.49,Premium,E,SI2,61.7,57,5.08,5.06,3.13,949
0.9,Ideal,G,SI1,62.4,57,6.15,6.19,3.85,4059
1.22,Ideal,H,,61.8,57,6.83,6.85,4.23,6654
0.43,Premium,F,VVS2,61.6,60,4.82,4.86,2.98,1169
1.52,Ideal,I,IF,62.2,57,7.33,7.27,4.54,10609
1.1,,F,I1,61.3,57,6.68,6.62,4.08,3690
0.75,Premium,I,SI1,62.7,61,5.75,5.71,3.59,2142
0.53,Ideal,F,SI1,61.9,55,5.19,5.21,3.22,1360
0.32,Good,H,SI2,63.1,56,4.34,4.37,2.75,403
1.13,Ideal,H,SI2,60.4,56,6.78,6.7,4.07,3797
0.6,Very Good,G,SI1,61.1,57,5.36,5.47,3.31,1554
0.35,Premium,I,SI1,62.5,58,4.49,4.53,2.82,472
2.08,Premium,H,SI1,62.6,59,8.13,8.1,5.08,17778
1.5,Ideal,I,VVS2,60.8,57,7.38,7.42,4.5,12148
0.5,Good,D,VS2,,56,5.09,5.05,3.23,1758
1.74,Ideal,J,SI1,62.1,54,7.73,7.69,4.79,9208
0.38,Ideal,E,VVS2,62.2,56,4.58,4.65,2.87,1100
0.24,Ideal,H,VVS2,62.5,54,3.95,3.98,2.48,442
0.32,Very Good,F,VS2,63,57,4.33,4.37,2.74,602
0.4,,J,VS1,63,58,4.66,4.7,2.95,631
0.7,Premium,D,,62.9,59,5.72,5.66,3.58,3214
2.01,Very Good,I,VS1,62.9,59,7.94,8.03,5.02,18041
0.4,Ideal,F,VVS2,61.7,55,4.74,4.76,2.93,1088
0.5,Good,F,SI2,57.7,62,5.22,5.18,3,984
0.73,Ideal,G,VVS2,61.3,57,5.84,5.81,3.57,2869
0.4,Very Good,F,IF,61.1,57,4.73,4.77,2.9,1217
0.71,Ideal,G,SI1,62.8,56,5.72,5.75,3.6,2342
0.92,Good,D,SI2,60.3,61,6.29,6.38,3.82,3843
0.23,Ideal,G,SI1,61.2,56,3.97,4,2.44,375
0.31,Premium,H,SI2,,59,4.45,4.39,2.63,501
0.3,Ideal,G,VVS1,62,55,4.34,4.31,2.68,1013
0.7,Very Good,E,VVS2,60.7,56,5.77,5.82,3.52,3295
0.73,Very Good,F,VS2,62.5,57,5.7,5.75,3.58,2855
0.72,Ideal,H,SI1,62,57,5.73,5.76,3.56,2361
0.61,Very Good,D,SI1,58.5,58,5.54,5.64,3.27,1828
0.23,Very Good,H,IF,63.9,55,3.89,3.9,2.49,369
1,Premium,F,SI1,59.3,60,6.61,6.57,3.91,4939
0.42,Good,F,SI2,64.1,56,4.76,4.72,3.04,646
0.51,Premium,I,,62.9,55,5.12,5.08,3.21,1179
0.52,Good,F,SI1,63.8,56,5.07,5.12,3.25,1244
1.55,Premium,H,VS2,60.4,60,7.44,7.39,4.48,11149
1.71,Ideal,I,VS2,60.5,56,7.71,7.73,4.67,11455
2.14,Ideal,G,SI2,62.9,56,8.18,8.14,5.13,14359
1.01,Premium,H,SI1,60.6,61,6.39,6.35,3.86,4320
0.4,Premium,D,SI1,60.9,60,4.78,4.74,2.9,884
1.52,Premium,I,SI1,61.2,60,7.41,7.36,4.52,8521
0.33,Very Good,F,SI1,62.8,58,4.4,4.42,2.77,550
0.74,Ideal,H,SI1,,56,5.77,5.83,3.6,2870
0.28,Very Good,F,VVS1,62.9,57,4.13,4.17,2.61,642
1.21,Ideal,E,VVS2,61.7,57,6.8,6.88,4.22,13661
0.7,Good,D,SI1,62.5,56.7,5.59,5.62,3.51,2872
1,Premium,G,I1,62.5,62,6.42,6.35,3.99,2984
0.56,Ideal,D,VS1,62.6,55,5.25,5.29,3.3,2057
0.37,Very Good,F,VS2,59.2,61,4.63,4.69,2.76,696
1.05,Ideal,F,SI1,61.8,57,6.51,6.54,4.03,4729
0.4,Premium,I,VVS1,60.8,58,4.78,4.76,2.9,1080
1.52,Good,H,,64.1,59,7.11,7.18,4.58,8915
1.01,Very Good,I,SI2,63.1,54,6.39,6.35,4.02,3818
0.9,Good,E,VS1,59.3,56,6.27,6.32,3.73,5356
1.57,Ideal,H,VS1,,55,7.44,7.49,4.64,12810
0.3,Premium,E,VS1,61.9,60,4.3,4.26,2.65,911
0.5,,E,VS2,63.3,57,5.1,5.07,3.22,1606
1.58,Ideal,H,VS2,61.4,56,7.5,7.56,4.62,12334
0.59,Ideal,E,VVS2,61.1,57,5.39,5.41,3.3,2911
0.41,Premium,D,SI2,62.4,60,4.77,4.71,2.96,876
0.55,Premium,I,VVS1,61.3,59,5.3,5.27,3.24,1712
1.5,Ideal,D,VS2,62,57,7.34,7.37,4.56,15788
0.3,Premium,G,VVS2,61,60,4.3,4.32,2.63,684
0.71,Good,I,VS2,64,59,5.55,5.61,3.57,1748
1.41,Good,H,VS2,63.8,60,7.12,7.04,4.52,9254
1.16,Premium,H,SI2,62.6,57,6.75,6.67,4.2,4979
0.3,Very Good,G,SI1,60.1,58,4.31,4.34,2.6,413
1.57,Very Good,I,VS2,60.3,58,7.58,7.55,4.56,10447
0.74,Ideal,I,VS2,61.9,57,5.83,5.81,3.6,2374
0.54,Ideal,H,,,56,5.24,5.23,3.22,1637
1.63,Ideal,G,VS1,61.7,55,7.6,7.56,4.68,15840
1.02,,H,SI1,61.9,61,6.42,6.34,3.95,4558
0.74,Very Good,H,VVS2,61.3,58,5.8,5.85,3.57,2944
0.34,Ideal,I,SI1,61.9,56,4.47,4.5,2.77,469
0.59,Very Good,H,VVS1,63.7,56,5.35,5.38,3.42,1870
1.01,Premium,D,SI1,62.8,60,6.42,6.36,4.01,5939
0.31,Very Good,G,VVS2,62.3,59,4.29,4.32,2.68,617
0.9,Premium,H,VS2,62.8,58,6.17,6.13,3.86,3810
0.72,Premium,D,VS1,62.7,56,5.76,5.69,3.59,3601
0.31,Good,G,VS1,63.8,57,4.29,4.33,2.75,625
1.5,Premium,J,VS1,62,61,7.37,7.24,4.53,7832
1.52,Ideal,E,SI1,62,56,7.36,7.34,4.56,12907
0.4,Premium,D,VS2,62.5,59,4.72,4.66,2.93,1050
0.56,Ideal,G,VS2,61.7,56,5.34,5.3,3.28,1698
0.52,Good,I,SI1,,60,5.1,5.05,3.23,1073
0.55,Ideal,G,SI2,62.1,57,5.3,5.23,3.27,1240
0.3,Good,F,IF,58.8,61,4.35,4.39,2.57,796
0.32,Premium,G,,61,59,4.36,4.42,2.68,421
0.5,Ideal,E,SI2,61.4,57,5.09,5.14,3.14,1154
0.9,,E,VS2,62.7,56,6.14,6.18,3.86,4770
2.01,Good,I,SI2,63.8,57,8,7.95,5.1,8780
0.29,Very Good,H,VS1,62.2,56,4.24,4.27,2.64,444
0.75,Premium,G,SI2,63,58,5.81,5.77,3.62,2250
1.03,Ideal,G,VS1,62,57,6.45,6.48,4,7119
0.71,Premium,E,SI2,61.4,59,5.74,5.7,3.51,2306
1,Good,D,SI2,57.8,58,6.55,6.61,3.8,4218
0.3,Ideal,G,IF,62,54.4,4.3,4.32,2.67,830
1.56,Premium,F,SI1,60.7,59,7.55,7.45,4.55,11901
0.53,Ideal,H,SI1,61.1,55,5.24,5.28,3.21,1245
0.91,Very Good,G,SI1,62.8,56,6.16,6.2,3.88,4922
1.51,Premium,E,I1,59,62,7.41,7.36,4.36,6494
1.1,Ideal,J,SI2,62,59,6.58,6.61,4.09,4226
1.57,Ideal,J,SI1,,57,7.51,7.4,4.65,8221
0.54,Ideal,G,SI1,62.6,57,5.21,5.18,3.25,1389
0.3,,F,VVS1,61.6,57,4.33,4.34,2.67,1041
0.31,Ideal,D,SI1,61.1,56,4.38,4.36,2.67,732
1,Very Good,D,VVS2,61.7,58,6.37,6.41,3.94,10113
0.73,Good,E,VS1,59,61,5.88,5.92,3.48,3466
0.36,Premium,G,VS1,61.7,59,4.59,4.55,2.82,932
1.01,Ideal,G,VS2,61.8,56,6.45,6.42,3.98,6108
1.01,Premium,F,SI2,62.2,59,6.41,6.45,4,4416
0.54,Premium,D,VVS1,61.4,57.5,5.25,5.28,3.23,3194
1.04,Premium,G,SI2,62.8,59,6.47,6.42,4.05,3564
0.31,Very Good,G,VVS1,62.8,57,4.3,4.33,2.71,761
0.42,Premium,I,SI1,61.2,60,4.82,4.78,2.94,803
0.4,Good,I,VS1,63.8,55,4.65,4.69,2.98,737
0.3,,G,VS2,61.3,56,4.28,4.3,2.63,526
1.34,Premium,G,SI2,,61,7.11,7.06,4.26,4953
0.7,Ideal,F,SI1,62.1,56,5.67,5.65,3.51,2596
1.21,Premium,G,SI2,62.7,59,6.74,6.66,4.2,5405
0.3,Premium,E,VS2,61.9,59,4.29,4.33,2.67,658
0.51,Ideal,D,VS2,62.1,56,5.16,5.11,3.19,1882
0.3,Ideal,I,VVS1,62.1,56,4.3,4.33,2.68,552
1,Premium,J,SI1,62.7,57,6.4,6.33,3.99,3416
0.42,Premium,G,VVS1,62.7,58,4.74,4.79,2.99,1179
0.45,Ideal,G,VVS1,61.5,57,4.91,4.95,3.03,1297
0.38,Ideal,E,VS1,61.8,54.7,4.66,4.68,2.89,924
0.41,Ideal,D,SI1,62.6,57,4.78,4.74,2.98,1015
0.91,Very Good,F,SI1,62,59,6.2,6.22,3.85,4141
0.71,Premium,F,SI1,60.3,60,5.76,5.79,3.48,2262
0.58,Ideal,F,SI1,60.9,55,5.39,5.41,3.29,1569
0.33,Ideal,D,SI1,62.8,55,4.45,4.41,2.78,780
1.28,Good,G,SI1,,62,7.17,7.13,4.12,6175
0.32,Ideal,F,VS2,62.4,56,4.37,4.35,2.72,828
0.38,Ideal,F,VVS1,61,57,4.66,4.69,2.85,1070
0.59,Premium,H,VVS2,62.3,55,5.42,5.33,3.35,1886
1.18,Ideal,G,VS2,60.9,56,6.8,6.85,4.16,7439
1.04,,I,SI1,61.2,56,6.53,6.55,4,4846
0.37,Ideal,G,VVS2,61.6,55,,4.66,2.86,815
1.14,Very Good,H,VS2,59.9,57,,6.81,4.07,5053
1.07,Ideal,D,SI1,61.8,55,,6.54,4.06,5872
0.33,Ideal,H,VS1,62.6,56,4.39,4.42,2.75,610
0.26,Good,H,VVS2,63.3,58,4.04,4.08,2.57,468
0.3,Very Good,G,VS1,63.1,58,4.28,4.24,2.69,776
0.37,Very Good,G,VS1,59.2,61,4.63,4.7,2.76,746
0.62,Premium,G,VS1,59.8,58,5.55,5.58,3.33,1933
0.31,Ideal,F,IF,62.3,57,4.34,4.3,2.69,1122
0.57,Ideal,F,VS2,62.3,55,5.36,5.3,3.32,1760
1.22,Ideal,G,VS1,60.7,57,6.93,6.94,4.21,9002
1.34,Very Good,E,SI2,62.1,63,7.06,7.01,4.37,5065
0.53,Premium,E,VS2,,57,5.21,5.18,3.2,1813
0.53,Ideal,E,SI1,61.2,54,5.21,5.25,3.2,
1.74,Very Good,H,SI2,62.1,59,7.65,7.78,4.79,
0.4,Very Good,D,SI2,63,59,4.64,4.69,2.94,622
0.38,Very Good,F,VS1,62.1,54.7,4.63,,2.89,1058
0.59,Very Good,G,IF,60.9,57,5.38,,3.29,2611
1.04,Premium,D,SI2,60.9,57,6.54,,3.97,4123
0.91,Very Good,E,SI2,62.4,58,6.11,6.14,3.82,3936
0.34,,G,VS1,61.7,60,4.45,4.49,2.76,686
1.5,Very Good,G,SI2,58.5,62,7.4,7.44,4.34,8580
0.52,Ideal,D,VS2,61.8,55,5.19,5.16,3.2,1919
0.7,Premium,E,VS2,59.3,60,5.78,5.73,3.41,2818
0.24,Ideal,E,VVS2,61.3,57,4,4.02,2.46,526
1.01,Good,E,SI1,63.2,59,6.27,6.35,3.99,5411
1.13,Premium,I,VS1,61.7,54,6.74,6.71,4.15,5316
0.34,Very Good,H,VVS1,,57,4.44,4.47,2.8,775
0.38,Ideal,G,VS2,61,55,4.67,4.71,2.86,721
1.01,Very Good,G,VS1,62.7,56,6.36,6.46,4.02,6326
0.9,Very Good,D,SI1,62.5,59,6.11,6.15,3.83,4579
1.21,Ideal,F,SI2,61.8,57,6.82,6.87,4.23,5996
1.53,Ideal,F,SI1,61.6,56,7.39,7.34,4.54,12109
1.01,Premium,F,VS1,62.4,61,6.39,6.36,3.98,7127
0.5,Ideal,H,IF,61,56,5.15,5.17,3.15,1923
1.05,,H,SI1,62.5,57,6.52,6.45,4.05,4558
1.25,Ideal,H,VS2,60,56,7.04,6.99,4.21,6944
0.54,Ideal,G,VS1,60.7,57,5.29,5.26,3.2,2274
0.73,Ideal,F,SI2,62.2,60,5.72,5.75,3.57,2355
1.05,Ideal,I,VS2,,55.8,6.49,6.52,4.04,6279
1.05,Premium,G,SI1,62.1,60,6.48,6.44,4.01,4857
1.07,Premium,F,VS1,60.6,61,6.62,6.56,3.99,6885
0.9,Very Good,H,SI2,62.8,57,6.15,6.2,3.88,3160
1.01,Fair,F,SI1,67.2,60,6.06,6,4.05,4276
0.32,Premium,F,VS2,59.5,60,4.46,4.48,2.66,602
1.5,Premium,G,SI2,61.8,59,7.29,7.21,4.48,9072
1.02,Very Good,D,SI1,62.7,60,6.34,6.39,3.99,5709
1.13,Ideal,F,VS2,62.1,56,6.65,6.71,4.15,7369
0.82,Fair,H,SI2,65.1,58,5.86,5.81,3.8,2358
1.01,Premium,G,VS2,63,56,6.41,6.35,4.02,5864
1.14,Premium,H,SI1,62.1,59,6.73,6.61,4.14,4463
0.33,Premium,I,IF,62,58,4.46,4.44,2.76,891
0.3,Good,H,VVS2,63.5,55,4.25,4.28,2.71,605
0.31,,D,SI1,60.2,56,4.37,4.4,2.64,571
1.51,Very Good,E,SI2,,58,7.53,7.61,4.45,9727
0.54,Good,E,VVS1,60.3,61,5.3,5.32,3.2,2697
0.4,Ideal,I,IF,62.4,56,4.7,4.73,2.94,982
1.14,Ideal,J,SI1,61.7,54,6.71,6.74,4.15,4708
0.46,Very Good,F,SI1,63.1,56,4.9,4.87,3.08,1006
1.7,Premium,I,VS2,61.9,56,7.55,7.5,4.66,
0.51,Ideal,E,VS2,61.8,57,5.15,5.14,3.18,
1.5,Premium,F,VS2,61.3,58,7.36,7.31,4.5,
1.7,Ideal,H,VS1,61.5,55,7.69,7.73,4.74,16240
1.01,Fair,G,SI1,60.4,62,6.31,6.34,3.82,4646
1.2,Good,H,SI2,59.7,63,6.84,6.87,4.09,5085
0.4,Very Good,F,VS1,60.4,58,4.75,4.79,2.88,868
1.53,Premium,D,SI1,61.6,58,7.35,7.42,4.55,10712
1.01,Very Good,F,SI2,62.2,58,6.36,6.4,3.97,4121
0.7,Good,I,SI1,63.6,55,5.62,5.58,3.56,1995
0.7,Ideal,J,VS1,61.4,55,5.72,5.75,3.53,2107
0.53,Ideal,E,VS2,62.1,56,5.2,5.17,3.22,1813
0.57,Ideal,D,VS2,61.7,56,5.3,5.37,3.29,2099
0.3,Good,D,VS2,,62,4.33,4.36,2.56,621
0.3,Very Good,I,VS1,62.9,59,4.22,4.3,2.68,473
1.04,Very Good,G,SI2,60.9,58,6.52,6.58,3.99,4200
0.35,,D,VS2,60.5,56,4.6,4.63,2.79,707
0.34,Very Good,F,VS2,62.9,55,4.46,4.48,2.81,686
0.9,Fair,E,SI2,64.4,58,6.07,6.01,3.89,2639
0.34,Ideal,E,VS2,62.2,57,4.46,4.42,2.76,829
1.5,Very Good,G,VS2,62.1,57,7.21,7.31,4.51,12156
